01	Sat	0326	CSK	KKR	Wankhede Stadium
02	Sun	0327	DC	MI	Brabourne - CCI
03	Sun	0327	PK	RCB	DY Patil Stadium
04	Mon	0328	GT	LSG	Wankhede Stadium
05	Tue	0329	SRH	RR	MCA Stadium, Pune
06	Wed	0330	RCB	KKR	DY Patil Stadium
07	Thu	0331	LSG	CSK	Brabourne - CCI
08	Fri	0401	KKR	PK	Wankhede Stadium
09	Sat	0402	MI	RR	DY Patil Stadium
10	Sat	0402	GT	DC	MCA Stadium, Pune
11	Sun	0403	CSK	PK	Brabourne - CCI
12	Mon	0404	SRH	LSG	DY Patil Stadium
13	Tue	0405	RR	RCB	Wankhede Stadium
14	Wed	0406	KKR	MI	MCA Stadium, Pune
15	Thu	0407	LSG	DC	DY Patil Stadium
16	Fri	0408	PK	GT	Brabourne - CCI
17	Sat	0409	CSK	SRH	DY Patil Stadium
18	Sat	0409	RCB	MI	MCA Stadium, Pune
19	Sun	0410	KKR	DC	Brabourne - CCI
20	Sun	0410	RR	LSG	Wankhede Stadium
21	Mon	0411	SRH	GT	DY Patil Stadium
22	Tue	0412	CSK	RCB	DY Patil Stadium
23	Wed	0413	MI	PK	MCA Stadium, Pune
24	Thu	0414	RR	GT	DY Patil Stadium
25	Fri	0415	SRH	KKR	Brabourne - CCI
26	Sat	0416	MI	LSG	Brabourne - CCI
27	Sat	0416	DC	RCB	Wankhede Stadium
28	Sun	0417	PK	SRH	DY Patil Stadium
29	Sun	0417	GT	CSK	MCA Stadium, Pune
30	Mon	0418	RR	KKR	Brabourne - CCI
31	Tue	0419	LSG	RCB	DY Patil Stadium
32	Wed	0420	DC	PK	MCA Stadium, Pune
33	Thu	0421	MI	CSK	DY Patil Stadium
34	Fri	0422	DC	RR	MCA Stadium, Pune
35	Sat	0423	KKR	GT	DY Patil Stadium
36	Sat	0423	RCB	SRH	Brabourne - CCI
37	Sun	0424	LSG	MI	Wankhede Stadium
38	Mon	0425	PK	CSK	Wankhede Stadium
39	Tue	0426	RCB	RR	MCA Stadium, Pune
40	Wed	0427	GT	SRH	Wankhede Stadium
41	Thu	0428	DC	KKR	Wankhede Stadium
42	Fri	0429	PK	LSG	MCA Stadium, Pune
43	Sat	0430	GT	RCB	Brabourne - CCI
44	Sat	0430	RR	MI	DY Patil Stadium
45	Sun	0501	DC	LSG	Wankhede Stadium
46	Sun	0501	SRH	CSK	MCA Stadium, Pune
47	Mon	0502	KKR	RR	Wankhede Stadium
48	Tue	0503	GT	PK	DY Patil Stadium
49	Wed	0504	RCB	CSK	MCA Stadium, Pune
50	Thu	0505	DC	SRH	Brabourne - CCI
51	Fri	0506	GT	MI	Brabourne - CCI
52	Sat	0507	PK	RR	Wankhede Stadium
53	Sat	0507	LSG	KKR	MCA Stadium, Pune
54	Sun	0508	SRH	RCB	Wankhede Stadium
55	Sun	0508	CSK	DC	DY Patil Stadium
56	Mon	0509	MI	KKR	DY Patil Stadium
57	Tue	0510	LSG	GT	MCA Stadium, Pune
58	Wed	0511	RR	DC	DY Patil Stadium
59	Thu	0512	CSK	MI	Wankhede Stadium
60	Fri	0513	RCB	PK	Brabourne - CCI
61	Sat	0514	KKR	SRH	MCA Stadium, Pune
62	Sun	0515	CSK	GT	Wankhede Stadium
63	Sun	0515	LSG	RR	Brabourne - CCI
64	Mon	0516	PK	DC	DY Patil Stadium
65	Tue	0517	MI	SRH	Wankhede Stadium
66	Wed	0518	KKR	LSG	DY Patil Stadium
67	Thu	0519	RCB	GT	Wankhede Stadium
68	Fri	0520	RR	CSK	Brabourne - CCI
69	Sat	0521	MI	DC	Wankhede Stadium
70	Sun	0522	SRH	PK	Wankhede Stadium
