1	MI	CSK	ABU DHABI	0919
2	DC	KXIP	DUBAI	0920
3	SRH	RCB	DUBAI	0921
4	RR	CSK	SHARJAH	0922
5	KKR	MI	ABU DHABI	0923
6	KXIP	RCB	DUBAI	0924
7	CSK	DC	DUBAI	0925
8	KKR	SRH	ABU DHABI	0926
9	RR	KXIP	SHARJAH	0927
10	RCB	MI	DUBAI	0928
11	DC	SRH	ABU DHABI	0929
12	RR	KKR	DUBAI	0930
13	KXIP	MI	ABU DHABI	1001
14	CSK	SRH	DUBAI	1002
15	RCB	RR	ABU DHABI	1003
16	DC	KKR	SHARJAH	1003
17	MI	SRH	SHARJAH	1004
18	KXIP	CSK	DUBAI	1004
19	RCB	DC	DUBAI	1005
20	MI	RR	ABU DHABI	1006
21	KKR	CSK	ABU DHABI	1007
22	SRH	KXIP	DUBAI	1008
23	RR	DC	SHARJAH	1009
24	KXIP	KKR	ABU DHABI	1010
25	CSK	RCB	DUBAI	1010
26	SRH	RR	DUBAI	1011
27	MI	DC	ABU DHABI	1011
28	RCB	KKR	SHARJAH	1012
29	SRH	CSK	DUBAI	1013
30	DC	RR	DUBAI	1014
31	RCB	KXIP	SHARJAH	1015
32	MI	KKR	ABU	1016
33	RR	RCB	DUBAI	1017
34	DC	CSK	SHA	1017
35	SRH	KKR	ABU	1018
36	MI	KXIP	DUBAI	1018
37	CSK	RR	ABU	1019
38	KXIP	DC	DUBAI	1020
39	KKR	RCB	ABU	1021
40	RR	SRH	DUBAI	1022
41	CSK	MI	SHARJAH	1023
42	KKR	DC	ABU	1024
43	KXIP	SRH	DUBAI	1024
44	RCB	CSK	DUBAI	1025
45	RR	MI	ABU	1025
46	KKR	KXIP	SHARJAH	1026
47	SRH	DC	DUBAI	1027
48	MI	RCB	ABU	1028
49	CSK	KKR	DUBAI	1029
50	KXIP	RR	ABU	1030
51	DC	MI	DUBAI	1031
52	RCB	SRH	SHARJAH	1031
53	CSK	KXIP	ABU	1101
54	KKR	RR	DUBAI	1101
55	DC	RCB	ABU	1102
56	SRH	MI	SHARJAH	1103
